"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.955444500E-1,-4.731360376E-1,1.815080643E0,-1.196352005E0,2.224777195E0
5.005220540E-1,-4.366164804E-1,1.840659380E0,-9.795603752E-1,2.130305009E0
5.054997100E-1,-3.733163476E-1,1.834108591E0,-6.235723495E-1,1.972856278E0
5.104773140E-1,-2.806146741E-1,1.814318180E0,-3.002486229E-1,1.860280702E0
5.154549180E-1,-2.721321285E-1,1.792704821E0,-1.602172852E-2,1.813312760E0
5.204325230E-1,-2.546201944E-1,1.749667406E0,2.417421341E-1,1.784546647E0
5.254101270E-1,-2.567438781E-1,1.801214457E0,4.071741104E-1,1.864425298E0
5.303898660E-1,-2.666324377E-1,1.848560810E0,5.005264282E-1,1.933596812E0
5.353726270E-1,-2.991095483E-1,1.908101797E0,4.657773972E-1,1.986773156E0
5.403553870E-1,-3.186511397E-1,1.939242125E0,4.015293121E-1,2.005847540E0
5.453381480E-1,-4.225951731E-1,2.008712530E0,3.104300499E-1,2.076024934E0
5.503208560E-1,-5.018399358E-1,2.137660742E0,1.594610214E-1,2.201559580E0
5.553036160E-1,-4.816292524E-1,2.226096869E0,-1.695108414E-1,2.283901909E0
5.602555430E-1,-4.942469001E-1,2.282219887E0,-4.948477745E-1,2.386981762E0
5.652383040E-1,-5.160531998E-1,2.415770054E0,-6.957693100E-1,2.566388667E0
5.702210640E-1,-5.543847680E-1,2.538471222E0,-8.234248161E-1,2.725657176E0
5.752038250E-1,-6.041886806E-1,2.593370914E0,-8.286194801E-1,2.788767990E0
5.801865330E-1,-6.013365984E-1,2.569562912E0,-7.696123123E-1,2.748920220E0
5.851692930E-1,-5.649959445E-1,2.529713631E0,-6.518559456E-1,2.672749080E0
5.901212210E-1,-4.904775023E-1,2.497886181E0,-4.949569702E-1,2.593257788E0
5.951039810E-1,-3.749441504E-1,2.433578968E0,-2.018852234E-1,2.470556082E0
6.000867410E-1,-2.980251312E-1,2.398699760E0,1.360054016E-1,2.420966127E0
6.050695020E-1,-2.326240242E-1,2.338529587E0,3.971800804E-1,2.383398116E0
6.100522100E-1,-1.566235572E-1,2.236734390E0,6.155309677E-1,2.325164520E0
6.150349710E-1,-1.077370122E-1,2.136361599E0,7.890939713E-1,2.279981895E0
6.199868980E-1,-7.630794495E-2,2.001977444E0,9.015235901E-1,2.196925436E0
6.249696580E-1,-5.742898583E-2,1.909739494E0,9.961605072E-1,2.154701553E0
6.299524180E-1,-7.463239133E-2,1.868750572E0,1.156306267E0,2.198827614E0
6.349351790E-1,-4.248394072E-2,1.852158546E0,1.163061619E0,2.187466227E0
6.399178870E-1,5.665318668E-2,1.859673977E0,1.070031643E0,2.146290894E0
6.449006480E-1,1.764333397E-1,1.855457306E0,9.706926346E-1,2.101450625E0
6.498525750E-1,2.732257247E-1,1.889299870E0,9.341058731E-1,2.125243533E0
6.548353350E-1,3.471964598E-1,1.894062519E0,1.071610928E0,2.203716903E0
6.598180960E-1,3.514528871E-1,1.997812748E0,1.329821110E0,2.425530682E0
6.648008560E-1,3.388927579E-1,2.144630909E0,1.617794991E0,2.707683635E0
6.697835640E-1,3.070299029E-1,2.207631588E0,1.785988808E0,2.856161867E0
6.747663250E-1,2.101668119E-1,2.289636612E0,1.816408634E0,2.930178532E0
6.797182000E-1,9.364145994E-2,2.483225346E0,1.828986168E0,3.085509236E0
6.847009600E-1,-4.786431789E-3,2.704315662E0,1.766876698E0,3.230355921E0
6.896837210E-1,-4.533530772E-2,2.908311367E0,1.551786423E0,3.296721311E0
6.946664810E-1,4.930016398E-2,2.948953629E0,1.212823868E0,3.188996667E0
6.996491890E-1,2.800932527E-1,2.859885216E0,8.569612503E-1,2.998629397E0
7.046319500E-1,5.652714372E-1,2.826947212E0,5.948910713E-1,2.943647011E0
7.095838770E-1,8.131855726E-1,2.924886703E0,6.959419250E-1,3.114573513E0
7.145666370E-1,9.806259871E-1,3.068267822E0,1.078166485E0,3.396812877E0
7.195493980E-1,1.143800139E0,3.027213097E0,1.560377121E0,3.592641737E0
7.245321580E-1,1.314207911E0,2.966953278E0,2.341655254E0,4.001662594E0
7.295148660E-1,1.498325109E0,2.737115860E0,3.225249290E0,4.487651318E0
7.344976270E-1,1.697006583E0,2.268710136E0,3.928242683E0,4.843342607E0
7.394495020E-1,1.850544810E0,1.724141598E0,4.348013878E0,5.030149603E0
7.444322620E-1,2.029603004E0,1.198758125E0,4.579643726E0,5.150674331E0
7.494150230E-1,2.178504944E0,7.987871170E-1,4.682054996E0,5.225474489E0
7.543977830E-1,2.298456907E0,4.801225662E-1,4.725498199E0,5.276718210E0
7.593804910E-1,2.431056023E0,2.060914040E-1,4.625104904E0,5.229158864E0
7.643632520E-1,2.551107645E0,4.718065262E-2,4.517887115E0,5.188610625E0
7.693151790E-1,2.633311987E0,-1.126317978E-1,4.449783325E0,5.171807187E0
7.742979390E-1,2.779179335E0,-2.025661469E-1,4.404255867E0,5.211750240E0
7.792807000E-1,2.882578135E0,-3.148798943E-1,4.360553741E0,5.236681677E0
7.842634600E-1,2.976871967E0,-5.054163933E-1,4.402629852E0,5.338573036E0
7.892461680E-1,3.045680285E0,-7.011342049E-1,4.411576271E0,5.406455656E0
7.942289290E-1,3.094171762E0,-9.100015163E-1,4.361840248E0,5.424725984E0
7.991808560E-1,3.096868515E0,-1.056289434E0,4.194491386E0,5.319783826E0
8.041636160E-1,3.016731739E0,-1.166368484E0,3.960044861E0,5.113026611E0
8.091463770E-1,2.873836517E0,-1.325977564E0,3.630186081E0,4.816160692E0
8.141291370E-1,2.707922220E0,-1.431859493E0,3.236006737E0,4.455872974E0
8.191118460E-1,2.577412128E0,-1.407312632E0,2.743986130E0,4.019084722E0
8.240946060E-1,2.478195190E0,-1.342226744E0,2.156262398E0,3.548590081E0
8.290465330E-1,2.408253670E0,-1.242660284E0,1.467861176E0,3.081964755E0
8.340292930E-1,2.369878531E0,-1.129116297E0,7.929973602E-1,2.742275091E0
8.390120540E-1,2.327110291E0,-9.718937874E-1,1.332597733E-1,2.525426302E0
8.439948140E-1,2.362954617E0,-8.441874981E-1,-4.952783585E-1,2.557637133E0
8.489775230E-1,2.451074839E0,-7.190346718E-1,-9.646401405E-1,2.730441233E0
8.539602830E-1,2.569172144E0,-6.432354450E-1,-1.450018406E0,3.019428873E0
8.589121580E-1,2.696848869E0,-5.949680805E-1,-1.770356178E0,3.280417937E0
8.638949180E-1,2.814895630E0,-6.218879223E-1,-1.788449764E0,3.392482064E0
8.688776790E-1,2.852902889E0,-6.483933926E-1,-1.524668217E0,3.299103220E0
8.738604390E-1,2.830795050E0,-7.018947601E-1,-1.246737957E0,3.171815316E0
8.788431480E-1,2.777349472E0,-7.521104813E-1,-1.137612343E0,3.094107643E0
8.838259080E-1,2.680263758E0,-7.974741459E-1,-1.033885956E0,2.981392123E0
8.887778350E-1,2.496529579E0,-8.054442406E-1,-9.207973480E-1,2.780156132E0
8.937605960E-1,2.338664055E0,-8.600366116E-1,-8.791403770E-1,2.642328582E0
8.987433560E-1,2.134506464E0,-9.874262810E-1,-9.202442169E-1,2.525465883E0
9.037261160E-1,1.869304657E0,-1.101122856E0,-1.008034229E0,2.392259278E0
9.087088250E-1,1.624114037E0,-1.208235741E0,-1.070842266E0,2.290039993E0
9.136915850E-1,1.477693081E0,-1.213074923E0,-1.151952744E0,2.232066919E0
9.186435120E-1,1.368013144E0,-1.208709240E0,-1.218163013E0,2.194620495E0
9.236262730E-1,1.274182796E0,-1.156386375E0,-1.305692673E0,2.160001066E0
9.286090330E-1,1.188891172E0,-1.124644041E0,-1.464845657E0,2.196374112E0
9.335917930E-1,1.183632970E0,-1.131827116E0,-1.628825665E0,2.309781954E0
9.385745020E-1,1.169882059E0,-1.139379263E0,-1.650019169E0,2.321502185E0
9.435572620E-1,1.152599812E0,-1.083198786E0,-1.676795006E0,2.305091631E0
9.485091370E-1,1.165095568E0,-1.035293102E0,-1.651830196E0,2.271083989E0
9.534918980E-1,1.228916764E0,-1.002890587E0,-1.615837574E0,2.264278474E0
9.584746580E-1,1.303135991E0,-9.792230129E-1,-1.599588394E0,2.283795996E0
9.634574180E-1,1.390122533E0,-9.144434929E-1,-1.607610226E0,2.313667693E0
9.684401270E-1,1.479916096E0,-8.544476032E-1,-1.687196732E0,2.401429817E0
9.734228870E-1,1.562988281E0,-7.610046864E-1,-1.768901348E0,2.480135577E0
9.783748140E-1,1.646847963E0,-6.132063866E-1,-1.807277203E0,2.520789792E0
9.833575750E-1,1.679694653E0,-4.656233788E-1,-1.893365860E0,2.573521622E0
9.883403350E-1,1.718631387E0,-4.394114017E-1,-2.058033466E0,2.717034776E0
9.933230960E-1,1.739086747E0,-4.096956253E-1,-2.248556137E0,2.871981532E0
9.983058040E-1,1.666881204E0,-3.641922474E-1,-2.298139572E0,2.862267359E0
1.003288564E0,1.621840119E0,-3.245518208E-1,-2.295621395E0,2.829412810E0
1.008240491E0,1.527333975E0,-2.740066051E-1,-2.286541939E0,2.763349911E0
1.013223252E0,1.474706411E0,-1.956858635E-1,-2.147107124E0,2.612110442E0
1.018206012E0,1.363012791E0,-5.230426788E-2,-1.975326061E0,2.400510915E0
1.023188773E0,1.280646324E0,5.267190933E-2,-1.813941956E0,2.221084140E0
1.028171481E0,1.222541690E0,3.059077263E-2,-1.655443192E0,2.058163293E0
1.033154241E0,1.178682804E0,6.566762924E-2,-1.630915642E0,2.013328394E0
1.038106429E0,1.193747282E0,1.241800785E-1,-1.665771961E0,2.053107277E0
1.043085075E0,1.200966477E0,2.567124367E-1,-1.712333679E0,2.107203926E0
1.048063721E0,1.190796971E0,3.366260529E-1,-1.789644241E0,2.175808134E0
1.053042366E0,1.208561420E0,3.503835201E-1,-1.790500641E0,2.188442794E0
1.058020960E0,1.182586074E0,3.726201057E-1,-1.748817444E0,2.143762584E0
1.062999606E0,1.146690011E0,3.391237259E-1,-1.650560379E0,2.038198334E0
1.067972106E0,1.129058003E0,2.981181145E-1,-1.593837261E0,1.975845035E0
1.072950752E0,1.125043869E0,3.235986233E-1,-1.342438221E0,1.781173813E0
1.077929398E0,1.080132127E0,2.765758038E-1,-1.037753582E0,1.523191414E0
1.082908043E0,9.545514584E-1,2.165923119E-1,-6.774506569E-1,1.190386538E0
1.087886637E0,8.256275654E-1,1.264817715E-1,-3.354377747E-1,9.000983368E-1
1.092865283E0,7.527564764E-1,-2.001976967E-2,-2.237186432E-1,7.855527578E-1
1.097837731E0,7.919559479E-1,9.407162666E-2,-3.076944351E-1,8.548213613E-1
1.102816377E0,7.803316712E-1,2.671887875E-1,-3.837795258E-1,9.097219848E-1
1.107795023E0,6.531403661E-1,1.798214912E-1,-5.141286850E-1,8.504448314E-1
1.112773668E0,6.248028278E-1,2.624804974E-1,-6.270399094E-1,9.232841562E-1
1.117752262E0,5.757124424E-1,2.473518848E-1,-5.557107925E-1,8.375214960E-1
1.122730908E0,4.423958361E-1,2.611026764E-1,-4.511260986E-1,6.836691015E-1
1.127703408E0,3.595465124E-1,3.888702393E-1,-2.512130737E-1,5.861755419E-1
1.132682054E0,1.431016624E-1,2.013642788E-1,-3.333272934E-1,4.148888322E-1
1.137660700E0,1.520451605E-1,4.175827503E-1,-2.406282425E-1,5.053662388E-1
1.142639346E0,1.051498353E-1,5.087006092E-1,-5.653696060E-1,7.677731365E-1
1.147617939E0,1.501317024E-1,8.281419277E-1,-5.473566055E-1,1.003971033E0
1.152596585E0,4.476866126E-2,7.596178055E-1,-5.864515305E-1,9.607022645E-1
1.157569085E0,-1.259016991E-2,9.295678139E-1,-5.798521042E-1,1.095665686E0
1.162547731E0,-1.165173054E-1,9.237673283E-1,-2.866754532E-1,9.742202906E-1
1.167526377E0,-1.506310701E-1,1.047843933E0,-1.207036972E-1,1.065474547E0
1.172505023E0,-2.830129266E-1,1.055127859E0,7.369804382E-2,1.094907538E0
1.177483616E0,-4.848749638E-1,7.379176617E-1,2.321758270E-1,9.129796386E-1
1.182462262E0,-5.141209364E-1,9.149899483E-1,6.055412292E-1,1.211695970E0
1.187434710E0,-5.630791783E-1,9.562602043E-1,7.755765915E-1,1.353887288E0
1.192413356E0,-5.826181173E-1,8.648083210E-1,8.193521500E-1,1.326150538E0
1.197392002E0,-5.085884333E-1,8.346672058E-1,8.732576370E-1,1.310690825E0
1.202370648E0,-4.004296660E-1,6.510331631E-1,9.801692963E-1,1.242948087E0
1.207349241E0,-2.282885313E-1,9.253344536E-1,1.402277946E0,1.695506692E0
1.212327887E0,-3.115556240E-1,9.806258678E-1,1.618270874E0,1.917679489E0
1.217300387E0,-5.479958653E-1,9.110183716E-1,1.879502296E0,2.159347777E0
1.222279033E0,-6.045783758E-1,9.205446243E-1,2.128378868E0,2.396437778E0
1.227257679E0,-6.759556532E-1,9.164378643E-1,2.381588936E0,2.639837166E0
1.232236325E0,-7.827385664E-1,8.803679943E-1,2.638969421E0,2.889963162E0
1.237214918E0,-9.268832207E-1,7.442672253E-1,2.845390320E0,3.083714040E0
1.242193564E0,-1.067576170E0,5.017197132E-1,3.008140564E0,3.231153231E0
1.247166012E0,-1.290416479E0,2.776160240E-1,3.275218010E0,3.531189369E0
1.252144658E0,-1.566658735E0,1.406531334E-1,3.546101570E0,3.879309119E0
1.257123304E0,-1.946027994E0,-1.060295105E-2,3.880665779E0,4.341279105E0
1.262101950E0,-2.337104559E0,-1.294248104E-1,4.150130272E0,4.764702485E0
1.267080543E0,-2.662833452E0,-2.050480843E-1,4.309753418E0,5.070177633E0
1.272059189E0,-2.758642435E0,-1.093633175E-1,4.374470711E0,5.172819581E0
1.277031689E0,-2.740668297E0,-6.230211258E-2,3.793307304E0,4.680205612E0
1.282010335E0,-3.187563419E0,1.916322708E-1,3.367904663E0,4.641127589E0
1.286988981E0,-3.338467836E0,9.348347187E-1,3.493884087E0,4.922043220E0
1.291967627E0,-3.302173138E0,1.269960642E0,3.329363823E0,4.858169504E0
1.296946221E0,-3.048992634E0,1.067351580E0,2.873086929E0,4.323219169E0
1.301924866E0,-2.894991398E0,9.005286694E-1,2.342834473E0,3.831553268E0
1.306897366E0,-2.964480877E0,9.807198048E-1,1.852812767E0,3.630822683E0
1.311876012E0,-2.956766129E0,9.670977592E-1,1.590929031E0,3.494109214E0
1.316854658E0,-2.879867077E0,7.726068497E-1,1.577678680E0,3.373370087E0
